Date,Open,High,Low,Close,Volume,Adj Close
16-05-2016,58.83,58.83,58.83,58.83,0,58.83
17-05-2016,59.3,59.87,57.07,57.75,5576300,57.75
18-05-2016,57.36,57.7,56.76,57.6,3693700,57.6
19-05-2016,57.5,58.45,56.91,57.4,3431700,57.4
20-05-2016,56.98,57.83,56.87,57.83,4501400,57.83
23-05-2016,57.9,57.9,56.45,56.92,4655100,56.92
24-05-2016,56.71,58.47,56.19,58.17,4671800,58.17
25-05-2016,59,60.15,58.53,60.11,4884100,60.11
26-05-2016,60.06,61.35,60.01,60.89,3722700,60.89
27-05-2016,61.04,61.2,60.38,60.68,3165300,60.68
30-05-2016,60.99,61.97,60.43,61.6,3651200,61.6
31-05-2016,61.83,62.1,60.87,61.39,3861800,61.39
01-06-2016,61.36,61.41,60.07,60.35,3125600,60.35
02-06-2016,60.15,60.84,59.81,60.61,2351600,60.61
03-06-2016,60.91,61.08,58.6,59.28,4894700,59.28
06-06-2016,59.45,59.89,59.24,59.36,1991900,59.36
07-06-2016,59.77,60.7,59.72,60.12,3400400,60.12
08-06-2016,59.86,60.02,59.07,59.61,2537200,59.61
09-06-2016,59.58,59.61,58.23,58.78,3397900,58.78
10-06-2016,58.4,58.46,57.1,57.51,4425300,57.51
13-06-2016,56.75,57.09,56.37,56.37,3832100,56.37
14-06-2016,56,56.02,54.8,55.05,5755400,55.05
15-06-2016,55.69,55.97,54.51,55.51,5651800,55.51
16-06-2016,54.36,55.51,54.15,55.31,4596200,55.31
17-06-2016,55.83,56.39,55.47,55.87,6692600,55.87
20-06-2016,57.7,58.53,57.48,58.35,4514800,58.35
21-06-2016,58.49,59.14,57.65,58.66,3298600,58.66
22-06-2016,59.18,59.77,58.81,59,3346700,59
23-06-2016,59.29,60.55,59.11,59.99,4228500,59.99
24-06-2016,52.56,56.48,52,55.06,18125800,55.06
27-06-2016,54.54,55.27,52.93,53.37,8546000,53.37
28-06-2016,54.73,54.8,53.42,53.68,5437700,53.68
29-06-2016,54,54.46,53.46,53.73,5021900,53.73
30-06-2016,53.84,53.85,52.92,53.52,5333000,53.52
01-07-2016,53.93,55.12,53.79,54.74,4738000,54.74
04-07-2016,55.1,55.25,53.92,54.24,2589200,54.24
05-07-2016,53.95,53.97,52.16,52.27,5866900,52.27
06-07-2016,52,52.19,50.83,51.97,5684600,51.97
07-07-2016,52.4,53.22,51.97,52.28,3782300,52.28
08-07-2016,52.14,54.47,51.98,54.15,4692800,54.15
11-07-2016,54.68,55.44,54.22,55.22,3635800,55.22
12-07-2016,57.1,58.07,56.86,57.65,7153100,57.65
13-07-2016,57.65,58.66,57.01,57.26,4447400,57.26
14-07-2016,58.2,58.89,58.01,58.49,4257300,58.49
15-07-2016,58.2,58.7,57.73,58.39,3546200,58.39
18-07-2016,58.6,59.33,58.08,58.31,3237400,58.31
19-07-2016,58.22,58.41,56.56,57.66,3938700,57.66
20-07-2016,58.22,59.2,57.56,58.68,3913700,58.68
21-07-2016,59.25,59.97,59,59.45,4759100,59.45
22-07-2016,59.37,59.82,58.91,59.51,2921400,59.51
25-07-2016,59.54,60.63,59.3,59.95,3399900,59.95
26-07-2016,59.98,61.06,59.68,60.76,3710700,60.76
